n,title,source,source_sha256,body_words,sentences,avg_sentence_words,p90_sentence_words,long_sentences_pct,paragraphs,avg_paragraph_words,p90_paragraph_words,very_long_paragraphs_pct,h3_per_1000_words,abstract_terms_per_1000,nominalizations_per_1000,situated_names_per_1000,voice_marks_per_1000,narrative_paragraphs_pct,load_index,automatic_signal
N10,N10 · Construir el problema: de síntomas a outcomes verificables,N10-content-canonical/source/N10_construir_el_problema_y_outcomes-content-canonical-v1.md,95230728219445226e5a69d41b560ce9efc55f3c1f210d82d97ea8d3d5f54995,8284,504,16.44,29,9.13,209,39.64,69,0.0,1.69,64.34,98.26,0.0,13.64,27.27,3,BAJA
N11,N11 · Cuándo un dato permite sostener una afirmación,N11-content-canonical/source/N11_cuando_un_dato_sostiene_una_afirmacion-content-canonical-v2.md,f57b9864966c8957336093030718b4809d4e721e7d598addb8975e4ac97657b1,7343,506,14.51,25,5.73,172,42.69,65,0.0,3.68,45.76,91.38,0.82,13.75,36.63,2,BAJA
N12,"N12 · Eventos, estados, comandos, evidencia y autoridad",N12-content-canonical/source/N12_eventos_estados_comandos_evidencia_y_autoridad-content-canonical-v3.md,e3e55ff4f8beb1b4e785113c3593a3822da6e5028e1702c884841f6f403e22ca,7012,553,12.68,21,1.63,182,38.53,59,0.0,3.57,58.47,107.1,1.14,25.1,28.57,3,BAJA
N13,"N13 · Demoras, concurrencia, consistencia, idempotencia y reconciliación",N13-content-canonical/source/N13_demoras_concurrencia_consistencia_idempotencia_y_reconciliacion-content-canonical-v2.md,0e877b1aceb5b1b42b3cfb7b8834246f4ca40ec4a2612d73a3d26b9ffc2a0d7a,6851,527,13.0,21,1.71,165,41.52,61,0.0,4.38,46.56,99.4,1.46,8.47,36.97,3,BAJA
N14,"N14 · Procesos end-to-end, handoffs, colas y excepciones",N14-content-canonical/source/N14_procesos_end_to_end_handoffs_colas_y_excepciones-content-canonical-v3.md,74d87c2ebfb0fee408109a46056ebee6017dfed56cb2e8bef0e4ba76da75b3bf,7484,606,12.35,20,1.16,193,38.78,64,0.0,3.34,60.4,95.4,3.21,5.21,35.23,3,BAJA
N15,"N15 · Seleccionar modelos según pregunta, audiencia y costo",N15-content-canonical/source/N15_seleccionar_modelos_segun_pregunta_audiencia_y_costo-content-canonical-v3.md,af93cb05b93e81b75637dade5fcdf6a4578702612fa52a261f852f0346de4c77,7693,669,11.5,19,1.2,224,34.34,62,0.0,2.73,74.74,108.67,6.76,6.76,29.02,3,BAJA
N16,"N16 · Coherencia, contradicciones productivas y ciclos de vida",N16-content-canonical/source/N16_coherencia_contradicciones_productivas_y_ciclos_de_vida-content-canonical-v3.md,39e1e6501ed46e01bc0a1b598616c0d23eaba1d0582d1179ee0224a675b33119,7911,640,12.36,21,1.88,226,35.0,64,0.0,2.78,74.96,106.69,8.47,8.09,38.05,3,BAJA
N17,"N17 · Lógicas predictivas, iterativas, incrementales, adaptativas y experimentales",N17-content-canonical/source/N17_logicas_predictivas_iterativas_incrementales_adaptativas_y_experimentales-content-canonical-v4.md,373957685ccc7eb31f5e2010fc061fb00883104ad9337c5513592fec677e1e1c,8022,568,14.12,23,2.82,208,38.57,68,0.0,2.37,72.55,104.84,1.5,1.87,40.87,2,BAJA
N18,"N18 · Legado, regulación y documentación como valor, restricción y evidencia",N18-content-canonical/source/N18_legado_regulacion_y_documentacion_como_valor_restriccion_y_evidencia-content-canonical-v3.md,c0398398a612edc632989b7b78220eb33f4315ed1563544f12c8ee8240757a8a,7397,505,14.65,23,1.19,172,43.01,70,0.0,3.65,63.0,107.21,2.43,2.3,42.44,3,BAJA
N19,"N19 · Alternativas de realización: configurar, integrar, construir y no automatizar",N19-content-canonical/source/N19_alternativas_de_realizacion_configurar_integrar_construir_y_no_automatizar-content-canonical-v3.md,c784e6286b6846e8810937b224bc819a8b6f16c040ca0449a7cbbcb8d0cc8326,7503,538,13.95,22,1.12,180,41.68,65,0.0,3.47,78.5,123.95,2.13,2.93,43.89,3,BAJA
N20,"N20 · Estrategia metodológica: adaptación, hitos y condiciones de salida",N20-content-canonical/source/N20_estrategia_metodologica_tailoring_hitos_y_condiciones_de_salida-content-canonical-v4.md,1c5f6f542c9c34b0781229cde7dc6d952cbf5e135794a4479995147ae287d7ce,7980,588,13.57,22,2.04,206,38.74,62,0.0,1.5,89.22,113.66,2.38,2.26,38.35,2,BAJA
N21,"N21 · Proyecto, producto, servicio y plataforma",N21-content-canonical/source/N21_proyecto_producto_servicio_y_plataforma-content-canonical-v4.md,64e09fa29fee9e83e389dcb71c9b73710630fd6cd12c52465b57cb3fa41179eb,7966,541,14.72,23,1.66,197,40.44,70,0.0,1.63,76.45,96.41,4.02,1.51,39.09,2,BAJA
N22,N22 · Iniciativas como hipótesis que pueden refutarse,N22-content-canonical/source/N22_iniciativas_como_hipotesis_que_pueden_refutarse-content-canonical-v3.md,08e26ec9a81d987225b0185ec44c9eb9fcb5cedf20305648a30d7cd3300268ff,7382,536,13.77,21,1.68,195,37.86,66,0.0,1.63,68.14,102.41,3.39,2.71,43.08,2,BAJA
N23,N23 · Capacidad y aprendizaje: cortar entregas por outcome,N23-content-canonical/source/N23_capacidad_y_aprendizaje_cortar_entregas_por_outcome-content-canonical-v4.md,c569b92ed1cd4c5ab97d16351d4d9a918863e3aded50613e20f26aee4225e4f5,7996,556,14.38,22,1.62,207,38.63,67,0.0,1.5,72.79,111.18,3.0,2.38,43.0,2,BAJA
N24,"N24 · Priorizar es renunciar: valor, costo de demora y límites",N24-content-canonical/source/N24_priorizar_es_renunciar_valor_costo_de_demora_y_limites-content-canonical-v4.md,35735191a9e6e84716088573fe6fd16308cd3d4a5948fc7be881f83971f5d2d1,7786,556,14.0,22,1.44,197,39.52,65,0.0,3.47,60.24,101.98,3.08,0.0,40.61,3,BAJA
N25,"N25 · Flujo más allá de las ceremonias: colas, lote, espera y feedback",N25-content-canonical/source/N25_flujo_mas_alla_de_las_ceremonias_colas_lote_espera_y_feedback-content-canonical-v4.md,aaf255115da2b547ad84ccfb6746e5fd3b9cc4745bdfdea3e8ea131c11dd6fd3,8113,563,14.41,23,1.6,212,38.27,66,0.0,3.33,46.96,84.68,1.73,0.0,41.04,2,BAJA
N26,"N26 · Ecosistema de servicios, plataformas y terceros",N26-content-canonical/source/N26_ecosistema_de_servicios_plataformas_y_terceros-content-canonical-v3.md,5532ffba63b8ec503db1d94143b3072dbd7659f15527d7c8f46724846d651b57,7134,432,16.51,25,4.63,163,43.77,71,0.0,3.64,62.8,94.48,4.21,1.4,50.31,3,BAJA
N27,"N27 · Contratos sintácticos, semánticos, temporales y operacionales",N27-content-canonical/source/N27_contratos_sintacticos_semanticos_temporales_y_operacionales-content-canonical-v4.md,bbceffe8c9a89d6080fc22fef064e9841da44a23775c25425e0832ef36782f91,7745,499,15.52,24,3.61,170,45.56,80,0.0,3.49,53.71,103.29,3.62,4.13,51.76,3,BAJA
N28,N28 · Evidencia de calidad según riesgo y atributos en tensión,N28-content-canonical/source/N28_evidencia_de_calidad_segun_riesgo_y_atributos_en_tension-content-canonical-v4.md,3a4b9e29f851bfda2846bc640507aed1852e23cb3d404001ac1a6d9869169f65,7372,490,15.04,24,3.27,163,45.23,78,0.0,3.66,59.41,122.08,3.39,4.07,54.6,3,BAJA
N29,"N29 · Gobernar integración, despliegue, infraestructura, aprobación y recuperación",N29-content-canonical/source/N29_gobierno_de_integracion_despliegue_infraestructura_aprobacion_y_rollback-content-canonical-v4.md,8eabd9227e628ec4d05850a37c2e160246d153f851da1ece0c9e2380ea6138eb,7625,526,14.5,23,0.95,180,42.36,73,0.0,1.84,61.11,116.46,4.46,1.57,47.22,2,BAJA
N30,"N30 · Observabilidad técnica, señales de negocio, SLI, SLO, incidentes y aprendizaje",N30-content-canonical/source/N30_observabilidad_senales_sli_slo_incidentes_y_aprendizaje-content-canonical-v4.md,5f9fbbd8948fd21233642146f45ab87d135a7d3b5bf7fb9ab7d64c8ccb1e646b,7550,523,14.44,23,0.76,165,45.76,74,0.0,3.58,53.91,89.01,3.71,1.06,56.36,3,BAJA
N31,"N31 · Reglas, predicción, generación y agencia: cuándo la IA es pertinente",N31-content-canonical/source/N31_reglas_prediccion_generacion_y_agencia-content-canonical-v4.md,f1770f514730fb8bca2584dd12954e9dbe4f93647e3f63cdb50b77bb0a70a166,7160,456,15.7,25,2.85,163,43.93,75,0.0,1.68,66.34,95.95,5.87,1.54,34.97,2,BAJA
N32,"N32 · Evaluar tareas, cobertura, severidad, desigualdad, robustez y supervisión",N32-content-canonical/source/N32_evaluar_tareas_cobertura_severidad_desigualdad_robustez_y_supervision-content-canonical-v4.md,df8778e665d8c7584965778ea5c7d1b523563628ff168e84e0dbe35ba731b970,7299,475,15.37,24,2.74,174,41.95,74,0.0,1.64,54.39,97.96,6.44,2.33,44.83,2,BAJA
N33,"N33 · Gobierno vivo de IA: inventario, responsabilidad, datos, proveedores, cambios, incidentes, reparación y retiro",N33-content-canonical/source/N33_gobierno_vivo_de_inteligencia_artificial-content-canonical-v4.md,4512431dc84e67fa492d63a9093948a0b6d089e5da3076aa35acd2de9cebbb9d,7652,497,15.4,24,3.62,178,42.99,75,0.0,1.57,69.79,97.36,7.06,1.57,42.13,2,BAJA
N34,N34 · Reconstruir la cadena completa: del problema y la evidencia a la operación y el gobierno,N34-content-canonical/source/N34_reconstruir_la_cadena_completa_del_problema_al_gobierno-content-canonical-v4.md,6930e260980801055389eaf000fd242293c8f58775099b7f040247d8d663981b,7176,492,14.59,23,2.64,175,41.01,74,0.0,1.67,83.19,98.1,7.53,2.51,38.29,2,BAJA
N35,"N35 · Comunicar, defender y transferir criterios sin copiar soluciones",N35-content-canonical/source/N35_comunicar_defender_y_transferir_criterios-content-canonical-v4.md,05434239213896ec795d9b6d2fa81ed5e7df296d0cdf5f6b75dcc5b0a24edd83,7456,496,15.03,24,3.83,192,38.83,62,0.0,1.61,70.95,114.4,6.71,3.08,41.15,2,BAJA
N36,"N36 · Práctica reflexiva: aprender de decisiones, errores, sorpresas y asistencia de IA",N36-content-canonical/source/N36_practica_reflexiva_y_aprendizaje_profesional-content-canonical-v5.md,54c0f30f88d628d83f9658a737ee1225781cff0110de07c12989bf2f90e7568a,6952,552,12.59,20,0.54,142,48.96,64,0.0,1.73,32.36,51.93,7.19,3.88,64.79,0,BAJA
