document,current_source,baseline_source,source_sha256,word_ratio,top_term_coverage,reference_entries,reference_coverage,reference_min_similarity,heading_ratio,readability_signal,overall
N10,N10-content-canonical/source/N10_construir_el_problema_y_outcomes-content-canonical-v1.md,N10-v9-final/source/N10_construir_el_problema_y_outcomes-content-final.md,95230728219445226e5a69d41b560ce9efc55f3c1f210d82d97ea8d3d5f54995,1.001,1.0,13,1.0,0.932,1.0,BAJA,pass
N11,N11-content-canonical/source/N11_cuando_un_dato_sostiene_una_afirmacion-content-canonical-v2.md,N11-content-canonical/source/N11_cuando_un_dato_sostiene_una_afirmacion-content-canonical-v1.md,f57b9864966c8957336093030718b4809d4e721e7d598addb8975e4ac97657b1,0.998,1.0,15,1.0,1.0,1.0,BAJA,pass
N12,N12-content-canonical/source/N12_eventos_estados_comandos_evidencia_y_autoridad-content-canonical-v3.md,N12-content-canonical/source/N12_eventos_estados_comandos_evidencia_y_autoridad-content-canonical-v2.md,e3e55ff4f8beb1b4e785113c3593a3822da6e5028e1702c884841f6f403e22ca,1.0,1.0,16,1.0,1.0,1.0,BAJA,pass
N13,N13-content-canonical/source/N13_demoras_concurrencia_consistencia_idempotencia_y_reconciliacion-content-canonical-v2.md,N13-content-canonical/source/N13_demoras_concurrencia_consistencia_idempotencia_y_reconciliacion-content-canonical-v1.md,0e877b1aceb5b1b42b3cfb7b8834246f4ca40ec4a2612d73a3d26b9ffc2a0d7a,1.002,1.0,15,1.0,1.0,1.0,BAJA,pass
N14,N14-content-canonical/source/N14_procesos_end_to_end_handoffs_colas_y_excepciones-content-canonical-v3.md,N14-content-canonical/source/N14_procesos_end_to_end_handoffs_colas_y_excepciones-content-canonical-v2.md,74d87c2ebfb0fee408109a46056ebee6017dfed56cb2e8bef0e4ba76da75b3bf,1.0,1.0,17,1.0,1.0,1.0,BAJA,pass
N15,N15-content-canonical/source/N15_seleccionar_modelos_segun_pregunta_audiencia_y_costo-content-canonical-v3.md,N15-content-canonical/source/N15_seleccionar_modelos_segun_pregunta_audiencia_y_costo-content-canonical-v2.md,af93cb05b93e81b75637dade5fcdf6a4578702612fa52a261f852f0346de4c77,1.001,1.0,19,1.0,0.99,0.833,BAJA,pass
N16,N16-content-canonical/source/N16_coherencia_contradicciones_productivas_y_ciclos_de_vida-content-canonical-v3.md,N16-content-canonical/source/N16_coherencia_contradicciones_productivas_y_ciclos_de_vida-content-canonical-v2.md,39e1e6501ed46e01bc0a1b598616c0d23eaba1d0582d1179ee0224a675b33119,1.0,1.0,16,1.0,1.0,1.0,BAJA,pass
N17,N17-content-canonical/source/N17_logicas_predictivas_iterativas_incrementales_adaptativas_y_experimentales-content-canonical-v4.md,N17-content-canonical/source/N17_logicas_predictivas_iterativas_incrementales_adaptativas_y_experimentales-content-canonical-v3.md,373957685ccc7eb31f5e2010fc061fb00883104ad9337c5513592fec677e1e1c,0.999,1.0,15,1.0,0.989,0.804,BAJA,pass
N18,N18-content-canonical/source/N18_legado_regulacion_y_documentacion_como_valor_restriccion_y_evidencia-content-canonical-v3.md,N18-content-canonical/source/N18_legado_regulacion_y_documentacion_como_valor_restriccion_y_evidencia-content-canonical-v2.md,c0398398a612edc632989b7b78220eb33f4315ed1563544f12c8ee8240757a8a,1.001,1.0,15,1.0,1.0,1.0,BAJA,pass
N19,N19-content-canonical/source/N19_alternativas_de_realizacion_configurar_integrar_construir_y_no_automatizar-content-canonical-v3.md,N19-content-canonical/source/N19_alternativas_de_realizacion_configurar_integrar_construir_y_no_automatizar-content-canonical-v2.md,c784e6286b6846e8810937b224bc819a8b6f16c040ca0449a7cbbcb8d0cc8326,1.002,1.0,16,1.0,1.0,1.0,BAJA,pass
N20,N20-content-canonical/source/N20_estrategia_metodologica_tailoring_hitos_y_condiciones_de_salida-content-canonical-v4.md,N20-content-canonical/source/N20_estrategia_metodologica_tailoring_hitos_y_condiciones_de_salida-content-canonical-v3.md,1c5f6f542c9c34b0781229cde7dc6d952cbf5e135794a4479995147ae287d7ce,1.009,1.0,14,1.0,0.989,0.778,BAJA,pass
N21,N21-content-canonical/source/N21_proyecto_producto_servicio_y_plataforma-content-canonical-v4.md,N21-content-canonical/source/N21_proyecto_producto_servicio_y_plataforma-content-canonical-v3.md,64e09fa29fee9e83e389dcb71c9b73710630fd6cd12c52465b57cb3fa41179eb,1.008,1.0,12,1.0,1.0,0.783,BAJA,pass
N22,N22-content-canonical/source/N22_iniciativas_como_hipotesis_que_pueden_refutarse-content-canonical-v3.md,N22-content-canonical/source/N22_iniciativas_como_hipotesis_que_pueden_refutarse-content-canonical-v2.md,08e26ec9a81d987225b0185ec44c9eb9fcb5cedf20305648a30d7cd3300268ff,1.01,1.0,12,1.0,1.0,0.778,BAJA,pass
N23,N23-content-canonical/source/N23_capacidad_y_aprendizaje_cortar_entregas_por_outcome-content-canonical-v4.md,N23-content-canonical/source/N23_capacidad_y_aprendizaje_cortar_entregas_por_outcome-content-canonical-v3.md,c569b92ed1cd4c5ab97d16351d4d9a918863e3aded50613e20f26aee4225e4f5,1.008,1.0,13,1.0,1.0,0.778,BAJA,pass
N24,N24-content-canonical/source/N24_priorizar_es_renunciar_valor_costo_de_demora_y_limites-content-canonical-v4.md,N24-content-canonical/source/N24_priorizar_es_renunciar_valor_costo_de_demora_y_limites-content-canonical-v3.md,35735191a9e6e84716088573fe6fd16308cd3d4a5948fc7be881f83971f5d2d1,1.0,1.0,20,1.0,1.0,1.0,BAJA,pass
N25,N25-content-canonical/source/N25_flujo_mas_alla_de_las_ceremonias_colas_lote_espera_y_feedback-content-canonical-v4.md,N25-content-canonical/source/N25_flujo_mas_alla_de_las_ceremonias_colas_lote_espera_y_feedback-content-canonical-v3.md,aaf255115da2b547ad84ccfb6746e5fd3b9cc4745bdfdea3e8ea131c11dd6fd3,1.0,1.0,22,1.0,1.0,1.0,BAJA,pass
N26,N26-content-canonical/source/N26_ecosistema_de_servicios_plataformas_y_terceros-content-canonical-v3.md,N26-content-canonical/source/N26_ecosistema_de_servicios_plataformas_y_terceros-content-canonical-v2.md,5532ffba63b8ec503db1d94143b3072dbd7659f15527d7c8f46724846d651b57,1.0,1.0,15,1.0,1.0,1.0,BAJA,pass
N27,N27-content-canonical/source/N27_contratos_sintacticos_semanticos_temporales_y_operacionales-content-canonical-v4.md,N27-content-canonical/source/N27_contratos_sintacticos_semanticos_temporales_y_operacionales-content-canonical-v3.md,bbceffe8c9a89d6080fc22fef064e9841da44a23775c25425e0832ef36782f91,1.002,1.0,17,1.0,1.0,1.0,BAJA,pass
N28,N28-content-canonical/source/N28_evidencia_de_calidad_segun_riesgo_y_atributos_en_tension-content-canonical-v4.md,N28-content-canonical/source/N28_evidencia_de_calidad_segun_riesgo_y_atributos_en_tension-content-canonical-v3.md,3a4b9e29f851bfda2846bc640507aed1852e23cb3d404001ac1a6d9869169f65,1.002,1.0,18,1.0,1.0,1.0,BAJA,pass
N29,N29-content-canonical/source/N29_gobierno_de_integracion_despliegue_infraestructura_aprobacion_y_rollback-content-canonical-v4.md,N29-content-canonical/source/N29_gobierno_de_integracion_despliegue_infraestructura_aprobacion_y_rollback-content-canonical-v3.md,8eabd9227e628ec4d05850a37c2e160246d153f851da1ece0c9e2380ea6138eb,1.005,1.0,18,1.0,0.986,0.787,BAJA,pass
N30,N30-content-canonical/source/N30_observabilidad_senales_sli_slo_incidentes_y_aprendizaje-content-canonical-v4.md,N30-content-canonical/source/N30_observabilidad_senales_sli_slo_incidentes_y_aprendizaje-content-canonical-v3.md,5f9fbbd8948fd21233642146f45ab87d135a7d3b5bf7fb9ab7d64c8ccb1e646b,1.0,1.0,17,1.0,1.0,1.0,BAJA,pass
N31,N31-content-canonical/source/N31_reglas_prediccion_generacion_y_agencia-content-canonical-v4.md,N31-content-canonical/source/N31_reglas_prediccion_generacion_y_agencia-content-canonical-v3.md,f1770f514730fb8bca2584dd12954e9dbe4f93647e3f63cdb50b77bb0a70a166,1.001,1.0,14,1.0,0.991,0.745,BAJA,pass
N32,N32-content-canonical/source/N32_evaluar_tareas_cobertura_severidad_desigualdad_robustez_y_supervision-content-canonical-v4.md,N32-content-canonical/source/N32_evaluar_tareas_cobertura_severidad_desigualdad_robustez_y_supervision-content-canonical-v3.md,df8778e665d8c7584965778ea5c7d1b523563628ff168e84e0dbe35ba731b970,1.01,1.0,15,1.0,0.991,0.745,BAJA,pass
N33,N33-content-canonical/source/N33_gobierno_vivo_de_inteligencia_artificial-content-canonical-v4.md,N33-content-canonical/source/N33_gobierno_vivo_de_inteligencia_artificial-content-canonical-v3.md,4512431dc84e67fa492d63a9093948a0b6d089e5da3076aa35acd2de9cebbb9d,1.017,1.0,14,1.0,0.988,0.745,BAJA,pass
N34,N34-content-canonical/source/N34_reconstruir_la_cadena_completa_del_problema_al_gobierno-content-canonical-v4.md,N34-content-canonical/source/N34_reconstruir_la_cadena_completa_del_problema_al_gobierno-content-canonical-v3.md,6930e260980801055389eaf000fd242293c8f58775099b7f040247d8d663981b,1.002,1.0,16,1.0,0.99,0.745,BAJA,pass
N35,N35-content-canonical/source/N35_comunicar_defender_y_transferir_criterios-content-canonical-v4.md,N35-content-canonical/source/N35_comunicar_defender_y_transferir_criterios-content-canonical-v3.md,05434239213896ec795d9b6d2fa81ed5e7df296d0cdf5f6b75dcc5b0a24edd83,1.007,1.0,14,1.0,0.988,0.745,BAJA,pass
N36,N36-content-canonical/source/N36_practica_reflexiva_y_aprendizaje_profesional-content-canonical-v5.md,N36-content-canonical/source/N36_practica_reflexiva_y_aprendizaje_profesional-content-canonical-v4.md,54c0f30f88d628d83f9658a737ee1225781cff0110de07c12989bf2f90e7568a,1.064,1.0,13,1.0,1.0,1.0,BAJA,pass
